filename,date,year,month,title,word_count,category,is_repost
2018-05-19_民政局发布关于在社会组织章程增加有关内容的通知.txt,2018-05-19,2018,5,民政局发布关于在社会组织章程增加有关内容的通知,1926,政策动态,False
2018-05-31_实习就得带劲儿丨公益评估、公益传播招聘.txt,2018-05-31,2018,5,实习就得带劲儿丨公益评估、公益传播招聘,1657,评估方法,False
2018-05-31_「转」转载丨从关注产品原材料开始以求精准扶贫或可持续发展.txt,2018-05-31,2018,5,「转」转载丨从关注产品原材料开始以求精准扶贫或可持续发展,2511,评估方法,True
2018-05-31_习近平主席宣布我国将加快加入《政府采购协定》进程.txt,2018-05-31,2018,5,习近平主席宣布我国将加快加入《政府采购协定》进程,3166,政策动态,False
2018-06-07_答对了吗？我们给评估人出了几道考试题.txt,2018-06-07,2018,6,答对了吗？我们给评估人出了几道考试题,860,评估方法,False
2018-06-07_「转」转载丨医务社工：用钱解决不了的问题？我来！.txt,2018-06-07,2018,6,「转」转载丨医务社工：用钱解决不了的问题？我来！,5298,ESG/可持续,True
2018-06-07_发改委明确对中标结果公示异议的处理.txt,2018-06-07,2018,6,发改委明确对中标结果公示异议的处理,1482,政策动态,False
2018-06-12_只为初心，我们选择免费开放公益项目「自评估」测试.txt,2018-06-12,2018,6,只为初心，我们选择免费开放公益项目「自评估」测试,1059,评估方法,False
2018-06-21_如果给公益评估行业选一位足球明星作代言人.txt,2018-06-21,2018,6,如果给公益评估行业选一位足球明星作代言人,294,评估方法,False
2018-06-21_财政部启动2018年全国政府采购代理机构监督检查工作.txt,2018-06-21,2018,6,财政部启动2018年全国政府采购代理机构监督检查工作,1507,政策动态,False
2018-06-28_「转」重磅 ｜ 杨团：中国的大格局变了，但中国的公益慈善还缺乏适应性的大思考和战略发展规划.txt,2018-06-28,2018,6,「转」重磅 ｜ 杨团：中国的大格局变了，但中国的公益慈善还缺乏适应性的大思考和战略发展规划,4110,行业洞察,True
2018-06-28_阿信策话丨财政部公布第一批政府采购代理机构处罚公告.txt,2018-06-28,2018,6,丨财政部公布第一批政府采购代理机构处罚公告,962,政策动态,False
2018-07-09_「转」影响力投资 ｜ 用大数据服务20317个自然村寨、1000多万人这件事，他们几乎是用走路做到的.txt,2018-07-09,2018,7,「转」影响力投资 ｜ 用大数据服务20317个自然村寨、1000多万人这件事，他们几乎是用走路做到的,3361,数据与技术,True
2018-07-09_国采中心与北京市政府采购中心签订新版软件采购合作框架协议.txt,2018-07-09,2018,7,国采中心与北京市政府采购中心签订新版软件采购合作框架协议,2403,政策动态,False
2018-07-23_邀请丨壹基金联合救灾网络项目评估 竞争性谈判公告.txt,2018-07-23,2018,7,邀请丨壹基金联合救灾网络项目评估 竞争性谈判公告,2349,评估方法,False
2018-07-23_民政部党组专题研究部署民政领域脱贫攻坚三年行动.txt,2018-07-23,2018,7,民政部党组专题研究部署民政领域脱贫攻坚三年行动,2119,政策动态,False
2018-07-26_邀请丨壹基金海洋天堂计划项目评估 竞争性谈判公告.txt,2018-07-26,2018,7,邀请丨壹基金海洋天堂计划项目评估 竞争性谈判公告,1996,评估方法,False
2018-08-14_实习就得带劲儿丨公益评估、公益传播招聘.txt,2018-08-14,2018,8,实习就得带劲儿丨公益评估、公益传播招聘,2026,评估方法,False
2018-08-14_财政部《政府采购法》修订座谈会在内蒙古呼伦贝尔市召开.txt,2018-08-14,2018,8,财政部《政府采购法》修订座谈会在内蒙古呼伦贝尔市召开,2246,政策动态,False
2018-08-14_转载丨严打非法社会组织的2018年，我们等来了新的社会组织管理条例.txt,2018-08-14,2018,8,转载丨严打非法社会组织的2018年，我们等来了新的社会组织管理条例,3644,政策动态,True
2018-08-29_三位学者在国际公共采购大会共讲中国故事.txt,2018-08-29,2018,8,三位学者在国际公共采购大会共讲中国故事,1256,政策动态,False
2018-08-29_我们想与你协同进化丨公益评估全职招聘.txt,2018-08-29,2018,8,我们想与你协同进化丨公益评估全职招聘,2386,评估方法,False
2018-09-10_转载丨99公益日，一年一度的大狂欢，给盆冷水清醒一下.txt,2018-09-10,2018,9,转载丨99公益日，一年一度的大狂欢，给盆冷水清醒一下,2980,评估方法,True
2018-09-10_拿到筹款的第一件事 就是不要让你项目越管越穷丨99公益日.txt,2018-09-10,2018,9,拿到筹款的第一件事 就是不要让你项目越管越穷丨99公益日,3823,公益项目,False
2018-09-10_财政部酝酿遏制低价恶性竞争新举措.txt,2018-09-10,2018,9,财政部酝酿遏制低价恶性竞争新举措,1073,政策动态,False
2018-09-20_财政部规范有序推进政府和社会资本合作（PPP）工作.txt,2018-09-20,2018,9,财政部规范有序推进政府和社会资本合作（PPP）工作,1487,政策动态,False
2018-09-20_「转」转载丨被需要就不该被遗忘：谁能登上医务社工“英雄谱”.txt,2018-09-20,2018,9,「转」转载丨被需要就不该被遗忘：谁能登上医务社工“英雄谱”,3498,ESG/可持续,True
2018-09-20_内部分享丨公益评估是什么？为什么要做评估？.txt,2018-09-20,2018,9,内部分享丨公益评估是什么？为什么要做评估？,1164,评估方法,False
2018-09-26_中国与新西兰自贸协定升级谈判结束政府采购章节.txt,2018-09-26,2018,9,中国与新西兰自贸协定升级谈判结束政府采购章节,1647,政策动态,False
2018-09-26_赋能、共同看见、数据 三点放大评估对项目的作用力.txt,2018-09-26,2018,9,赋能、共同看见、数据 三点放大评估对项目的作用力,1803,评估方法,False
2018-09-26_转载丨公益行业评估支持平台交流会在京成功召开.txt,2018-09-26,2018,9,转载丨公益行业评估支持平台交流会在京成功召开,2103,评估方法,True
2018-09-30_好课推荐丨利用国庆七天，公益人可以学习什么？.txt,2018-09-30,2018,9,好课推荐丨利用国庆七天，公益人可以学习什么？,1504,评估方法,False
